"Fraction_1" "Fraction_2" "Fraction_3" "Fraction_4" "Fraction_5" "Fraction_6" "Fraction_7" "Fraction_8" "Fraction_9" "Fraction_10" "Fraction_11" "Fraction_12" "Fraction_13" "Fraction_14" "Fraction_15" "Fraction_16" "Fraction_17" "Fraction_18" "Fraction_19" "Fraction_20" "Fraction_21" "Fraction_22" "Fraction_23" "Fraction_24" "Fraction_25"
"AAR2_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 0 43137.3733682593 137730.587650046 62925.4105037554 98459.9615408964 49163.2916626538 34402.0093153063 36766.9695087855 33998.5354570927 35695.0065171443 20964.421779797 0 0 0 46725.3606406618
"AAR2_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 0 73408.7857235486 145877.279034661 74399.0321183477 125875.361749962 65678.8751461211 28124.060724022 45255.342556587 51691.9506515985 41352.869608587 33275.6094665575 0 0 0 38580.9350607423
"AASD1_HUMAN_Rep_1" 0 0 0 0 242483.022755944 173492.681309409 95904.1684649719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AASD1_HUMAN_Rep_2" 0 0 0 0 196501.246803156 211076.661751926 97157.1814043303 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AASD1_HUMAN_Rep_3" 0 0 0 0 299327.291035744 166182.67987603 112636.452428587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AATC_HUMAN_Rep_1" 0 0 0 52976.3568875966 2286353.09949611 4137938.16008737 2545563.29787088 1147996.31776908 1051182.40994423 397891.675982919 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AATC_HUMAN_Rep_2" 0 0 0 76753.5396998968 1264350.23450952 2594726.81774523 2216238.32991117 1102788.17312324 1066359.38518221 310343.189477669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AATC_HUMAN_Rep_3" 0 0 0 52601.0711637651 1217158.41227955 1848554.87988049 1242764.84632617 855921.265026053 600219.845496477 235643.30996869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AATF_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 180626.21456708 173152.605526128 231640.123077598 280062.91877211 121932.170370682
"AATF_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 169436.296901776 134968.799110749 189374.688633362 239492.030258631 91917.4557813265
"AATF_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 191156.948152673 210958.384816778 340151.08006114 297795.058250742 108447.09686983
"AATM_HUMAN_Rep_1" 0 0 57326.9914319502 1521166.50381875 3170444.52028431 3537587.81853978 3906411.69572275 2113202.67686514 1632354.95196937 1331155.87551665 77116.8961241235 543444.108565147 555529.512811848 309958.645021034 129983.477019002 0 0 0 0 0 0 0 0 0 0
"AATM_HUMAN_Rep_2" 0 0 22150.1609101624 1304640.39238849 2476093.13748212 2698902.73501901 3384025.83723383 1996911.52525355 1535703.46551585 977212.093228777 94675.4598661312 500730.628830347 330704.247149143 315725.610663046 86012.9469148183 0 0 0 0 0 0 0 0 0 0
"AATM_HUMAN_Rep_3" 0 0 44468.7564703755 1573476.614893 2463697.48661862 2760414.76961822 2873371.25899832 1951815.19481947 1284228.87855166 869217.502161943 96935.8549723893 549329.077957896 366770.41582177 203348.584484061 90501.0558489747 0 0 0 0 0 0 0 0 0 0
"ABCB6_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 243828.376599678 209334.427643429 165602.047772573 89582.5773862911 323186.380140285 624743.290715906 371942.013088037 146305.041030599 294605.870461392 158201.941035899 42542.9605871208 0 0 0 81933.0278949661
"ABCB6_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 293705.915419097 218210.256671742 195431.072258206 99507.3967079288 378050.635670656 660917.605931091 350720.742975462 122825.658098693 268871.211370955 164196.148112607 33838.5969266069 0 0 0 90139.7129082983
"ABCB6_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 270493.408352814 202340.89297281 203778.97440336 105854.860872946 342797.016198376 784100.253829203 440690.273812888 131285.952124574 315922.566586042 114478.761558851 43916.6314561828 0 0 0 86565.194343742
"ABCB7_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 131121.054113357 156864.375899325 81270.0672447892 232354.282340656 94006.6129290895 172393.870387089 103011.52508039 0 0 0 0 0 0 0 0 0
"ABCB7_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 101937.580965109 107052.866311241 68778.1137950896 234857.932472637 90543.1622506899 145699.047024806 101768.862522865 0 0 0 0 0 0 0 0 0
"ABCB7_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 138155.591251281 145765.503018258 100484.345014046 259853.694282211 92080.8448377221 175512.567963432 97232.9024670026 0 0 0 0 0 0 0 0 0
"ABCD3_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 251275.723307906 143134.698661612 470113.635042705 767516.585087396 793785.753072398 1076604.99670968 556725.413472172 826011.650487136 640333.472212786 609383.544102155 307963.834374907 148307.532558322 97351.6144398931 60522.8889484676 0 233199.904206057
"ABCD3_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 132385.964406327 88575.7523758123 446606.09647866 575344.919695121 672505.908546221 781716.412272058 462104.76274283 697740.708643155 560428.895060263 603814.121762332 391871.968936878 148847.985862632 155077.985135709 70445.1766125546 0 365689.858227672
"ABCD3_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 215144.837467632 142801.671604367 571724.081506695 703121.079389402 651557.387733619 930991.920483817 503696.39042669 602013.002710091 518779.589032237 519660.064828891 308348.750899128 147997.133170474 51593.8894958149 58196.6252728981 0 201152.354554509
"ABCE1_HUMAN_Rep_1" 0 0 0 0 0 217105.91127434 346229.125463886 0 0 170905.253123013 186511.1943199 122854.671988567 36247.911784881 35781.6657478397 141418.744898637 192390.298142706 0 0 348849.502887068 479380.650805344 463922.918390225 630366.021425186 669026.26164468 445801.033165692 537691.750117644
"ABCE1_HUMAN_Rep_2" 0 0 0 0 0 191278.457071304 275733.200676911 0 0 252965.412784426 249888.016693559 155416.112426586 42342.5569976326 42504.7839705634 154907.329633569 216260.011723828 0 0 311108.902550885 392268.808752395 404626.0289712 439914.970765528 515607.110235856 345358.022351873 404353.502036656
"ABCE1_HUMAN_Rep_3" 0 0 0 0 0 292921.376755831 307330.346681934 0 0 301786.876085818 205961.759837611 141459.057870694 62833.3084949719 44158.1025309014 192679.267557605 265034.827778634 0 0 190876.748450032 291910.509956878 326722.838838838 330260.232963186 386126.83426565 199361.922644962 269730.072938348
"ABCF1_HUMAN_Rep_1" 0 0 0 66245.3247481844 40900.6761590129 52761.3708844045 45184.6691560824 0 0 0 0 0 0 65758.5108271637 61491.5348244475 416021.407892373 524437.04528062 490367.876712847 705746.38928657 342436.985765065 548110.120875555 0 0 0 0
"ABCF1_HUMAN_Rep_2" 0 0 0 51224.5677217265 45488.0425726042 285952.412811885 47708.4903172679 0 0 0 0 0 0 112966.303344007 95688.3844805808 551519.143762132 727499.123574667 508143.089801799 443421.482434089 217659.289925221 205544.292372349 0 0 0 0
"ABCF1_HUMAN_Rep_3" 0 0 0 57933.42722923 104645.802398619 166129.556666608 67127.5752362398 0 0 0 0 0 0 144580.739102315 128898.947915249 589779.756141096 351327.846680982 240667.983492841 297721.912141552 114592.413758954 199386.187523399 0 0 0 0
"ABCF2_HUMAN_Rep_1" 0 0 0 0 106581.252519353 142874.296396652 95584.5573840918 44094.4657007844 80988.243459006 136181.916538671 104484.813199914 37040.4200829342 32962.1568687585 0 35047.364533586 48327.3400191271 0 261662.290355606 131128.151608401 0 217343.745580296 509923.963471579 296803.562330832 273738.917380481 651674.795601359
"ABCF2_HUMAN_Rep_2" 0 0 0 0 137258.116954331 138414.602968663 85093.6021095578 49155.1610696548 80952.6424985412 127012.918925517 109084.76887195 48000.1054023616 29150.1116143324 0 36450.6277185856 47659.0628078306 0 210730.529519226 91453.1017605314 0 208823.323134271 453708.734923636 267508.072156704 255596.777723126 510776.615284491
"ABCF2_HUMAN_Rep_3" 0 0 0 0 138307.736520562 266944.127348214 186533.609600547 101328.827049086 151543.694046028 183965.221101473 120683.291425175 36931.3967613826 26177.4256489802 0 25648.0240110926 42989.7075730933 0 109896.432565711 28528.479827115 0 110369.069122613 327473.649717958 202571.32270878 164270.451763096 320678.423552276
"ABCF3_HUMAN_Rep_1" 150787.775173922 46373.2423570127 0 35091.860710295 167783.873813578 132006.925976914 85648.8216089045 0 0 0 18516.7767909857 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABCF3_HUMAN_Rep_2" 131912.666259479 36388.557949681 0 37014.9561845081 163198.055809971 60545.5869365597 85216.4635064993 0 0 0 21960.9468692435 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABCF3_HUMAN_Rep_3" 112884.157288066 63625.9444579206 0 20558.9819286601 160067.985963468 130829.184005336 78289.0860752528 0 0 0 13180.6417594326 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABD12_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 80420.1560712573 69682.3321690707 56145.2908007374 57983.0687946599 71839.488520823 70575.2025074929 133161.862408752 248030.943846903 110525.317425478 49995.1321338359 215434.602366574 42588.9793151675 75662.0986219094 40386.6522130187 75953.7206101018 93207.9091865948
"ABD12_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 55261.9922848669 51259.5418637264 73916.917269375 58295.8929859174 74573.2655705669 66232.5400443076 102636.505498688 205481.254326551 122335.159339265 56849.2254187087 142590.424823386 48742.0418736522 72287.8126587406 44886.1234318826 51600.5375972347 92255.4985687274
"ABD12_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 65774.7307256374 72944.9359152715 68978.6468397135 59370.5999384882 99408.9308969114 59406.0330999523 113669.387474214 241265.986384322 117026.272418666 57305.9111345627 144761.906877352 66227.5203207486 78049.390068224 32671.1516123348 75943.2535024549 111886.42761123
"ABHDA_HUMAN_Rep_1" 0 0 127590.013383587 112051.225293738 391578.337366943 0 0 0 0 0 0 0 0 0 143552.772216589 0 0 0 0 0 0 0 0 0 0
"ABHDA_HUMAN_Rep_2" 0 0 125233.382480732 263036.540343008 151230.553239431 0 0 0 0 0 0 0 0 0 147323.115935715 0 0 0 0 0 0 0 0 0 0
"ABHDA_HUMAN_Rep_3" 0 0 153669.140121458 199260.044100977 228046.155889194 0 0 0 0 0 0 0 0 0 145243.661653012 0 0 0 0 0 0 0 0 0 0
"ABHDB_HUMAN_Rep_1" 0 289114.026925447 1238225.09120735 461693.450063967 400110.070915946 127705.97726053 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABHDB_HUMAN_Rep_2" 0 247881.739672068 1231209.43387143 621925.178517935 509208.806557759 84999.1644116961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABHDB_HUMAN_Rep_3" 0 362431.301835879 1102987.55262251 501602.714899147 527231.891272616 117525.804285699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABHEB_HUMAN_Rep_1" 0 423259.809258301 920582.827923872 610705.679009477 115870.444252691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABHEB_HUMAN_Rep_2" 0 458675.041195847 1096565.23038367 796793.266702977 97123.9571106525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABHEB_HUMAN_Rep_3" 0 326820.29357158 1208264.38603724 918936.301569483 120191.758704631 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABHGA_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 0 0 0 26541.7470585067 57042.9951136357 139009.125267745 0 0 0 0 0 0 0 0 0 0
"ABHGA_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 0 0 0 16839.5923372381 63650.4588789732 155923.156519929 0 0 0 0 0 0 0 0 0 0
"ABHGA_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 0 0 0 30812.4095698857 58810.4055436521 137812.744287777 0 0 0 0 0 0 0 0 0 0
"ABI1_HUMAN_Rep_1" 0 106403.898633182 0 0 0 0 0 112758.163166298 534929.346946135 778719.798991848 233495.950440763 127374.737721586 110267.252736159 0 0 0 0 0 0 0 0 0 0 0 0
"ABI1_HUMAN_Rep_2" 0 108227.919676365 0 0 0 0 0 135340.219128987 521500.047087008 760415.955805424 240348.474159519 114000.553040521 115429.837501302 0 0 0 0 0 0 0 0 0 0 0 0
"ABI1_HUMAN_Rep_3" 0 133833.029569253 0 0 0 0 0 119189.003095878 941274.966697343 966883.468466318 239401.205281564 107697.572066173 135204.324224254 0 0 0 0 0 0 0 0 0 0 0 0
"ABI2_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 48484.9458391545 104808.828291985 47237.9673813949 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABI2_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 53987.5068752975 88915.2909751653 53823.4189137556 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABI2_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 85094.1011354398 104706.745989521 63955.3479625021 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABL2_HUMAN_Rep_1" 0 0 0 0 8817.50186400257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABL2_HUMAN_Rep_2" 0 0 0 0 10206.5320292113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABL2_HUMAN_Rep_3" 0 0 0 0 17623.6787139694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABRAL_HUMAN_Rep_1" 0 24643.0770507761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABRAL_HUMAN_Rep_2" 0 41753.9902373145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABRAL_HUMAN_Rep_3" 0 64944.1175791239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABRX1_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 28408.2604275369 24574.8561992042 0 0 0 0 0 0 0 0 0 0 131829.525306539 161736.22712024 0 0
"ABRX1_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 19394.9718392759 20105.0358689104 0 0 0 0 0 0 0 0 0 0 116892.601710939 135732.096420715 0 0
"ABRX1_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 63569.9451883998 39638.6176506658 0 0 0 0 0 0 0 0 0 0 236238.107638593 170576.59412807 0 0
"ABRX2_HUMAN_Rep_1" 0 0 0 0 0 64997.2249866291 243036.434741451 218732.369103495 120876.728504571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABRX2_HUMAN_Rep_2" 0 0 0 0 0 134748.404962241 284464.416344803 227833.874237509 83999.2473237551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABRX2_HUMAN_Rep_3" 0 0 0 0 0 131491.896042882 300047.849658087 192109.456637764 84459.8242575846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABTB2_HUMAN_Rep_1" 0 0 0 0 0 0 0 3998.76590004264 3006.88171563375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABTB2_HUMAN_Rep_2" 0 0 0 0 0 0 0 5616.97587826191 2281.31677166312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABTB2_HUMAN_Rep_3" 0 0 0 0 0 0 0 2141.64991790085 5206.32237256048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACACA_HUMAN_Rep_1" 0 0 0 0 0 0 0 0 0 2214712.89473554 4752283.00494929 4556065.46603133 2062649.41265158 639690.13304234 46168.9648465202 0 0 0 0 0 0 0 0 0 0
"ACACA_HUMAN_Rep_2" 0 0 0 0 0 0 0 0 0 3013261.99261604 4264995.47339483 4206214.77591251 1795643.41124868 591903.128132392 41771.1777993046 0 0 0 0 0 0 0 0 0 0
"ACACA_HUMAN_Rep_3" 0 0 0 0 0 0 0 0 0 2928744.96737532 3994691.21712596 4188883.61833212 1716339.71352572 495168.138255039 70909.7045075011 0 0 0 0 0 0 0 0 0 0
"ACAD8_HUMAN_Rep_1" 0 0 0 25750.472722683 0 49611.5584421119 35674.1550798052 28336.8406036324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACAD8_HUMAN_Rep_2" 0 0 0 33847.5252699931 0 71610.371090347 32965.1226842878 24244.0411707014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACAD8_HUMAN_Rep_3" 0 0 0 39105.5429081534 0 51977.0761792391 32816.0979852814 26988.4238490687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACAD9_HUMAN_Rep_1" 0 0 0 0 75738.9324499526 0 248664.368991732 77670.0288313341 69209.654157593 0 58510.0886627265 0 0 59691.3409847616 58661.2742948599 0 0 0 0 0 0 0 0 0 0
"ACAD9_HUMAN_Rep_2" 0 0 0 0 76864.368066663 0 244151.779299161 59749.4956857672 81517.8443330427 0 48119.6924342836 0 0 67743.3726507658 48073.0668165382 0 0 0 0 0 0 0 0 0 0
"ACAD9_HUMAN_Rep_3" 0 0 0 0 103837.362339807 0 244838.447169292 96616.3764495551 84286.1051126944 0 71322.8863353291 0 0 56605.0153357651 59315.160291706 0 0 0 0 0 0 0 0 0 0
"ACADM_HUMAN_Rep_1" 0 0 0 0 197600.18234238 1146938.82414038 1026993.77967163 1907548.2697533 1582770.31311692 864747.362238418 749857.013479825 319486.46431114 0 65115.0649585794 0 0 0 0 0 0 0 0 0 0 0
"ACADM_HUMAN_Rep_2" 0 0 0 0 230727.062160564 792626.860867017 1067584.97457119 1858846.77063802 1529622.17995476 908301.349648692 725125.226832739 296728.364610835 0 42661.7208483162 0 0 0 0 0 0 0 0 0 0 0
"ACADM_HUMAN_Rep_3" 0 0 0 0 288789.259140733 689433.011885597 791504.245322827 1423467.28734281 1445363.48538768 779504.120506809 668823.942347308 293822.446560239 0 41995.272484921 0 0 0 0 0 0 0 0 0 0 0
"ACADS_HUMAN_Rep_1" 0 0 0 0 0 0 90449.9358890824 95358.5691620285 0 12888.5189226998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACADS_HUMAN_Rep_2" 0 0 0 0 0 0 85024.1149260417 73665.1687997566 0 14244.3116789639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACADS_HUMAN_Rep_3" 0 0 0 0 0 0 94810.0362024521 90866.2252328095 0 13550.2444476061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACADV_HUMAN_Rep_1" 0 0 0 0 80538.4629452355 410165.609270718 2522912.59953024 3839154.46190239 4220422.49178439 3979129.69934217 2187393.60868672 1638657.82226298 1017645.23687908 294990.934258257 166374.354078165 144956.49055922 173968.426744813 140945.989287485 35868.7734056153 103439.53756773 21416.5746361075 22726.9224959725 0 0 0
"ACADV_HUMAN_Rep_2" 0 0 0 0 75339.3764492606 319440.943648888 1421768.19837715 1975504.46071645 3039450.37161263 4356016.79033432 2575876.47460028 3095148.31314053 1153215.81432618 448776.695621855 220443.84014463 169539.323656153 168801.905209083 146178.849033679 33130.3437587479 111938.223517488 21425.3507225444 22441.3932264614 0 0 0
"ACADV_HUMAN_Rep_3" 0 0 0 0 130813.151150453 732901.077995582 2172187.92132239 3076283.99923607 2482163.7818741 2911880.00337779 1833651.72816815 1624594.63471226 789831.207871972 237984.818064769 119786.883597456 141763.984594665 168904.74156553 112797.416062929 17001.9216862496 80376.9023168703 34048.3829143902 25991.4041542291 0 0 0
"ACBD5_HUMAN_Rep_1" 0 79839.9075707229 0 0 0 0 0 0 0 0 45198.2100048903 0 0 106176.853027162 149144.39519753 240775.991300487 102489.876030063 0 98721.4296513646 69413.2417665209 66570.1505954744 35441.5845080169 42814.9893891952 61589.2031634032 51447.4834795237
"ACBD5_HUMAN_Rep_2" 0 96177.8496353411 0 0 0 0 0 0 0 0 28226.646399463 0 0 49579.4984196588 92904.266347594 173505.017909778 69742.0295023435 0 95137.9648148181 64332.1434264765 61673.9752599577 43170.2375797546 60582.1961761862 113564.904934993 65957.5806524374
"ACBD5_HUMAN_Rep_3" 0 133081.555958909 0 0 0 0 0 0 0 0 44501.2630436681 0 0 69980.5134913181 121178.889796503 186239.17932006 71194.3210063813 0 74669.7538804556 48438.5676841339 106972.513260458 46401.622873412 29532.290137026 41494.5579607032 42438.0586904687
